noc,year,season,bronze_medals,gold_medals,silver_medals,total_medals
TPE,1960,Summer,0,0,1,1
TPE,1968,Summer,1,0,0,1
TPE,1984,Summer,1,0,0,1
TPE,1992,Summer,0,0,20,20
TPE,1996,Summer,0,0,1,1
TPE,2000,Summer,4,0,1,5
TPE,2004,Summer,3,2,4,9
TPE,2008,Summer,4,0,0,4
TPE,2012,Summer,1,0,1,2
TPE,2016,Summer,4,1,0,5
TTO,1948,Summer,0,0,1,1
TTO,1952,Summer,2,0,0,2
TTO,1964,Summer,5,0,1,6
TTO,1976,Summer,0,1,0,1
TTO,1996,Summer,2,0,0,2
TTO,2000,Summer,1,0,1,2
TTO,2004,Summer,1,0,0,1
TTO,2008,Summer,0,5,1,6
TTO,2012,Summer,5,1,4,10
TTO,2016,Summer,1,0,0,1
TUN,1964,Summer,1,0,1,2
TUN,1968,Summer,1,1,0,2
TUN,1972,Summer,0,0,1,1
TUN,1996,Summer,1,0,0,1
TUN,2008,Summer,0,1,0,1
TUN,2012,Summer,1,1,1,3
TUN,2016,Summer,3,0,0,3
TUR,1936,Summer,1,1,0,2
TUR,1948,Summer,2,6,4,12
TUR,1952,Summer,1,2,0,3
TUR,1956,Summer,2,3,2,7
TUR,1960,Summer,0,7,2,9
TUR,1964,Summer,1,2,3,6
TUR,1968,Summer,0,2,0,2
TUR,1972,Summer,0,0,1,1
TUR,1984,Summer,3,0,0,3
TUR,1988,Summer,0,1,1,2
TUR,1992,Summer,2,2,2,6
TUR,1996,Summer,1,4,1,6
TUR,2000,Summer,2,3,0,5
TUR,2004,Summer,5,3,3,11
TUR,2008,Summer,3,1,3,7
TUR,2012,Summer,1,2,2,5
TUR,2016,Summer,4,1,3,8
UAE,2004,Summer,0,1,0,1
UAE,2016,Summer,1,0,0,1
UAR,1960,Summer,1,0,1,2
UGA,1968,Summer,1,0,1,2
UGA,1972,Summer,0,1,1,2
UGA,1980,Summer,0,0,1,1
UGA,1996,Summer,1,0,0,1
UGA,2012,Summer,0,1,0,1
UKR,1994,Winter,1,1,0,2
UKR,1996,Summer,19,10,5,34
UKR,1998,Winter,0,0,1,1
UKR,2000,Summer,12,3,20,35
UKR,2004,Summer,31,8,8,47
UKR,2006,Winter,3,0,0,3
UKR,2008,Summer,16,10,5,31
UKR,2012,Summer,12,9,5,26
UKR,2014,Winter,1,4,0,5
UKR,2016,Summer,5,2,8,15
URS,1952,Summer,19,36,62,117
URS,1956,Summer,55,68,46,169
URS,1956,Winter,6,26,5,37
URS,1960,Summer,45,61,63,169
URS,1960,Winter,28,7,7,42
URS,1964,Summer,51,60,63,174
URS,1964,Winter,9,30,8,47
URS,1968,Summer,64,65,63,192
URS,1968,Winter,5,26,6,37
URS,1972,Summer,60,107,47,214
URS,1972,Winter,3,36,6,45
URS,1976,Summer,77,114,95,286
URS,1976,Winter,11,38,7,56
URS,1980,Summer,126,187,129,442
URS,1980,Winter,7,18,29,54
URS,1984,Winter,12,29,15,56
URS,1988,Summer,99,134,67,300
URS,1988,Winter,12,40,14,66
URU,1924,Summer,0,14,0,14
URU,1928,Summer,0,17,0,17
URU,1932,Summer,1,0,0,1
URU,1948,Summer,2,0,1,3
URU,1952,Summer,14,0,0,14
URU,1956,Summer,12,0,0,12
URU,1964,Summer,1,0,0,1
URU,2000,Summer,0,0,1,1
USA,1896,Summer,2,11,7,20
USA,1900,Summer,17,30,16,63
USA,1904,Summer,125,128,141,394
USA,1906,Summer,6,12,6,24
USA,1908,Summer,15,34,16,65
USA,1912,Summer,36,46,25,107
USA,1920,Summer,38,111,45,194
USA,1924,Summer,49,97,36,182
USA,1924,Winter,1,1,10,12
USA,1928,Summer,17,47,24,88
USA,1928,Winter,2,6,6,14
USA,1932,Summer,61,81,47,189
USA,1932,Winter,3,10,21,34
USA,1936,Summer,16,51,29,96
USA,1936,Winter,14,2,0,16
USA,1948,Summer,35,87,30,152
USA,1948,Winter,6,6,4,16
USA,1952,Summer,28,83,23,134
USA,1952,Winter,1,4,25,30
USA,1956,Summer,20,61,42,123
USA,1956,Winter,5,2,19,26
USA,1960,Summer,21,81,23,125
USA,1960,Winter,4,19,4,27
USA,1964,Summer,37,95,37,169
USA,1964,Winter,5,1,2,8
USA,1968,Summer,35,99,32,166
USA,1968,Winter,1,1,5,7
USA,1972,Summer,43,69,59,171
USA,1972,Winter,3,3,18,24
USA,1976,Summer,36,70,58,164
USA,1976,Winter,5,3,3,11
USA,1980,Winter,2,24,4,30
USA,1984,Summer,50,186,116,352
USA,1984,Winter,0,4,5,9
USA,1988,Summer,54,87,66,207
USA,1988,Winter,4,2,1,7
USA,1992,Summer,85,89,50,224
USA,1992,Winter,2,5,7,14
USA,1994,Winter,5,6,8,19
USA,1996,Summer,52,159,48,259
USA,1998,Winter,5,25,4,34
USA,2000,Summer,51,130,61,242
USA,2002,Winter,15,11,58,84
USA,2004,Summer,71,117,75,263
USA,2006,Winter,32,9,11,52
USA,2008,Summer,80,127,110,317
USA,2010,Winter,22,12,63,97
USA,2012,Summer,46,145,57,248
USA,2014,Winter,24,10,30,64
USA,2016,Summer,71,139,54,264
UZB,1994,Winter,0,1,0,1
UZB,1996,Summer,1,0,1,2
UZB,2000,Summer,2,1,1,4
UZB,2004,Summer,2,2,1,5
UZB,2008,Summer,3,1,2,6
UZB,2012,Summer,2,1,0,3
UZB,2016,Summer,7,4,2,13
VEN,1952,Summer,1,0,0,1
VEN,1960,Summer,1,0,0,1
VEN,1968,Summer,0,1,0,1
VEN,1976,Summer,0,0,1,1
VEN,1980,Summer,0,0,1,1
VEN,1984,Summer,3,0,0,3
VEN,2004,Summer,2,0,0,2
VEN,2008,Summer,1,0,0,1
VEN,2012,Summer,0,1,0,1
VEN,2016,Summer,2,0,1,3
VIE,2000,Summer,0,0,1,1
VIE,2008,Summer,0,0,1,1
VIE,2016,Summer,0,1,1,2
WIF,1960,Summer,5,0,0,5
YUG,1924,Summer,0,2,0,2
YUG,1928,Summer,10,1,1,12
YUG,1936,Summer,0,0,1,1
YUG,1948,Summer,0,0,16,16
YUG,1952,Summer,0,4,20,24
YUG,1956,Summer,0,0,23,23
YUG,1960,Summer,0,16,1,17
YUG,1964,Summer,2,2,11,15
YUG,1968,Summer,2,13,14,29
YUG,1972,Summer,2,15,1,18
YUG,1976,Summer,3,2,14,19
YUG,1980,Summer,17,13,27,57
YUG,1984,Summer,35,47,5,87
YUG,1984,Winter,0,0,1,1
YUG,1988,Summer,21,15,27,63
YUG,1988,Winter,1,0,5,6
ZAM,1984,Summer,1,0,0,1
ZAM,1996,Summer,0,0,1,1
ZIM,1980,Summer,0,15,0,15
ZIM,2004,Summer,1,1,1,3
ZIM,2008,Summer,0,1,3,4
